benchmark,experiment,before_mean_ns,after_mean_ns,change_percent,outcome
whittaker_2d/brpls_16x16,precomputed second-order operator coefficients,8232144,9174000,+10.7,rejected
whittaker_2d/brpls_16x16,jacobi-preconditioned conjugate gradient,8232144,12802000,+55.63,rejected
optimizers_2d/collab_pls_2x16x16,reuse shared Whittaker workspace and fill weights in place,1299657,1293300,-0.38,no significant change
spline_1d/pspline_aspls_256,direct dense row-scaled P-spline workspace,990000,7488873,+656.45,rejected
polynomial_1d/goldindec_256,direct adjusted-RHS computation with cached-power evaluation,1347031,1539700,+14.30,rejected
spline_1d/pspline_aspls_256,reuse asPLS residual/weight/interpolation buffers,943588,960087,+1.75,rejected
whittaker_1d/arpls_256,no-allocation arPLS weight update,311677,334911,+7.45,rejected
whittaker_2d/brpls_16x16,interior/boundary split for second-order operator,6461777,7949078,+23.02,rejected
